	SD	RH
2018-02-24	11.625	0.0009742258
2018-02-25	11.8125	0.0019536745
2018-02-26	11.9375	0.0011718441
2018-02-27	11.9375	0.001826507
2018-02-28	11.9375	0.0013602674
2018-03-01	11.9375	0.002148686
2018-03-02	11.9375	0.0018853964
2018-03-03	11.9375	0.00208354
2018-03-04	11.9375	0.003111599
2018-03-05	12.0	0.0028312942
2018-03-06	11.875	0.0011262447
2018-03-07	11.875	0.0013926867
2018-03-08	11.875	0.00202291
2018-03-09	11.9375	0.0014222153
2018-03-10	11.9375	0.0012535201
2018-03-11	11.9375	0.002573274
2018-03-12	11.9375	0.0015055723
2018-03-13	11.9375	0.0017855847
2018-03-14	11.9375	0.0022331476
2018-03-15	11.9375	0.0010757027
2018-03-16	11.9375	0.0010947613
2018-03-17	11.9375	0.0013107797
2018-03-18	11.9375	0.0024555214
2018-03-19	11.5625	0.0011903001
2018-03-20	11.5625	0.0015744194
2018-03-21	11.375	0.0029860977
2018-03-22	10.5625	0.0036498262
2018-03-23	9.5	0.0026785322
2018-03-24	8.4375	0.0020052716
2018-03-25	7.9375	0.002584367
2018-03-26	7.25	0.003554766
2018-03-27	5.3125	0.003251507
2018-03-28	3.5	0.002847433
2018-03-29	3.625	0.0012792991
2018-03-30	3.625	0.00053873006
2018-03-31	3.625	0.0005407613
2018-04-01	3.6875	0.0011046026
2018-04-02	3.6875	0.00043329597
2018-04-03	3.6875	0.0004947493
2018-04-04	3.6875	0.0011852244
2018-04-05	3.625	0.0010887412
2018-04-06	3.6875	0.0006570779
2018-04-07	3.6875	0.0007903697
2018-04-08	3.6875	0.00086496584
2018-04-09	3.6875	0.0012033209
2018-04-10	2.8125	0.002766585
2018-04-11	1.8125	0.0015216339
2018-04-12	1.125	0.0010862043
2018-04-13	0.9375	0.0008466337
2018-04-14	0.9375	0.0012001116
2018-04-15	0.75	0.0012933239
2018-04-16	0.4375	0.0014198413
2018-04-17	0.125	0.0013365746
2018-04-18	0.0	0.0011631232
2018-04-19	0.0	0.0016056476
2018-04-20	0.0	0.00209531
2018-04-21	0.0	0.003602269
2018-04-22	0.0	0.004351639
2018-04-23	0.0	0.0038240207
2018-04-24	0.0	0.002276672
2018-04-25	0.0	0.002792379
2018-04-26	0.0	0.0031233076
2018-04-27	0.0	0.0038711745
2018-04-28	0.0	0.0022018533
2018-04-29	0.0	0.003733823
